LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,predicted_price
11622,0.0,468.0,144.0,270.0,882.0,896,0,0,896,1,2,5,730.0,140,0,0,0,120,163495.78936818877
14267,108.0,923.0,0.0,406.0,1329.0,1329,0,0,1329,1,3,6,312.0,393,36,0,0,0,169642.02237315147
13830,0.0,791.0,0.0,137.0,928.0,928,701,0,1629,2,3,6,482.0,212,34,0,0,0,195063.33628145463
9978,20.0,602.0,0.0,324.0,926.0,926,678,0,1604,2,3,7,470.0,360,36,0,0,0,203027.12774325555
5005,0.0,263.0,0.0,1017.0,1280.0,1280,0,0,1280,2,2,5,506.0,0,82,0,0,144,191105.91865739916
10000,0.0,0.0,0.0,763.0,763.0,763,892,0,1655,2,3,7,440.0,157,84,0,0,0,183811.29302869574
7980,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,2,3,6,420.0,483,21,0,0,0,184370.38773592914
8402,0.0,0.0,0.0,789.0,789.0,789,676,0,1465,2,3,7,393.0,0,75,0,0,0,162983.6251236692
10176,0.0,637.0,0.0,663.0,1300.0,1341,0,0,1341,1,2,5,506.0,192,0,0,0,0,176337.31608794842
8400,0.0,804.0,78.0,0.0,882.0,882,0,0,882,1,2,4,525.0,240,0,0,0,0,141665.83437795797
5858,0.0,1051.0,0.0,354.0,1405.0,1337,0,0,1337,2,2,5,511.0,203,68,0,0,0,206469.46647984334
1680,504.0,156.0,0.0,327.0,483.0,483,504,0,987,1,2,5,264.0,275,0,0,0,0,138422.68764339903
1680,492.0,300.0,0.0,225.0,525.0,525,567,0,1092,1,3,6,320.0,0,0,0,0,0,125733.54782250847
2280,0.0,514.0,0.0,341.0,855.0,855,601,0,1456,2,3,6,440.0,173,0,0,0,0,172349.7884844249
2280,0.0,0.0,0.0,836.0,836.0,836,0,0,836,1,2,4,308.0,0,30,0,0,0,101507.57232748745
12858,162.0,0.0,0.0,1590.0,1590.0,1627,707,0,2334,2,3,10,751.0,144,133,0,0,0,286351.0598068902
12883,256.0,0.0,0.0,1544.0,1544.0,1544,0,0,1544,2,3,7,868.0,0,35,0,0,0,230272.40723596702
